2025,Autumn Weekday,Autumn Weekend,Winter Weekday,Winter Weekend,Spring Weekday,Spring Weekend,Summer Weekday,Summer Weekend,Peak Day
0:00:00,0,1,0,1,1,1,0,1,0
1:00:00,0,1,0,1,0,1,0,0,1
2:00:00,0,0,0,0,0,0,0,0,0
3:00:00,0,0,0,0,0,0,0,0,0
4:00:00,0,0,0,0,0,0,0,0,0
5:00:00,0,0,0,0,0,0,0,0,0
6:00:00,1,1,1,1,1,1,1,1,1
7:00:00,2,2,2,2,2,1,1,1,4
8:00:00,3,3,4,4,3,2,2,2,9
9:00:00,4,4,6,6,3,3,2,3,12
10:00:00,4,4,7,7,4,4,3,3,11
11:00:00,5,5,8,8,5,5,3,3,10
12:00:00,5,5,8,8,5,5,3,3,10
13:00:00,4,4,7,7,5,5,3,3,12
14:00:00,4,4,7,6,4,4,3,3,8
15:00:00,3,3,5,5,4,4,3,3,6
16:00:00,3,2,4,4,3,3,2,3,7
17:00:00,2,2,3,2,3,3,2,2,4
18:00:00,2,1,2,1,2,2,2,2,2
19:00:00,1,1,1,1,2,1,1,1,2
20:00:00,1,1,1,1,1,1,1,1,2
21:00:00,1,1,1,1,1,1,1,1,2
22:00:00,1,1,1,1,1,1,1,1,2
23:00:00,1,0,1,1,1,0,1,0,1
